Dados do período 2021.2,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,628,27,4710,1314
13020000,ARTES,Campina Grande,397,27,5400,1305
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,14,11,960,24
12020000,CIÊNCIAS MÉDICAS,Campina Grande,485,94,12555,2529
13050000,CIÊNCIAS SOCIAIS,Campina Grande,712,46,6255,1138
11120000,DESIGN,Campina Grande,171,16,2040,626
13030000,ECONOMIA E FINANCAS,Campina Grande,326,20,3060,587
13040000,EDUCAÇÃO,Campina Grande,585,33,5340,1479
12010000,ENFERMAGEM,Campina Grande,186,45,6810,1006
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,100,23,3120,294
15030000,ENGENHARIA CIVIL,Campina Grande,696,39,5670,1806
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,54,12,1530,145
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,165,18,1590,228
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,66,10,1590,134
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,390,16,2280,471
14040000,ENGENHARIA ELÉTRICA,Campina Grande,640,53,8115,1777
11050000,ENGENHARIA MECÂNICA,Campina Grande,301,28,3735,785
11070000,ENGENHARIA QUÍMICA,Campina Grande,355,30,3960,642
11140000,ESTATÍSTICA,Campina Grande,399,15,2430,436
11080000,FÍSICA,Campina Grande,722,33,5115,1008
13080000,GEOGRAFIA,Campina Grande,153,14,2460,544
13060000,HISTÓRIA,Campina Grande,273,24,3300,781
13070000,LETRAS,Campina Grande,921,61,9420,1933
11090000,MATEMÁTICA,Campina Grande,1037,35,4920,1357
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,90,17,2040,193
13090000,MÚSICA,Campina Grande,70,14,2415,249
12050000,PSICOLOGIA,Campina Grande,352,28,7695,1898
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1164,38,6720,2705
21050000,CIÊNCIAS DA VIDA,Cajazeiras,288,54,7695,937
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,367,31,5265,1017
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,467,18,3105,1318
21030000,EDUCAÇÃO,Cajazeiras,664,29,4260,1564
21060000,ENFERMAGEM,Cajazeiras,252,27,4065,1074
21070000,GEOGRAFIA,Cajazeiras,280,15,2370,737
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21040000,LETRAS,Cajazeiras,500,26,3840,1165
31030000,CIÊNCIAS CONTÁBEIS,Sousa,320,25,3270,1382
31010000,DIREITO,Sousa,808,53,7260,4676
41050000,CIÊNCIAS BIOLÓGICAS,Patos,295,26,3270,1086
41020000,ENGENHARIA FLORESTAL,Patos,82,29,3090,400
41010000,MEDICINA VETERINÁRIA,Patos,421,46,6060,2519
41060000,ODONTOLOGIA,Patos,383,35,3630,1701
51040000,BIOLOGIA E QUÍMICA,Cuité,730,33,5490,1610
51030000,ENFERMAGEM,Cuité,238,22,6825,1351
51010000,FÍSICA E MATEMÁTICA,Cuité,727,37,7140,1493
51020000,SAÚDE,Cuité,744,42,10575,3415
71050000,CIÊNCIAS SOCIAIS,Sumé,154,11,1560,347
71010000,EDUCAÇÃO DO CAMPO,Sumé,231,24,3420,485
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,92,13,1440,234
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,154,12,1470,319
71060000,GESTÃO PÚBLICA,Sumé,103,7,1050,272
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,226,33,4140,669
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,812,79,14025,3587
